Country/Region,Province/State,th,logK,sigma,score
Afghanistan,NaN,138.32930005225427,9.193630704719094,23.627037663502996,6.508855244868521e-05
Algeria,NaN,92.89172538257353,7.6644331236844945,6.948937244796186,0.001244198948159563
Andorra,NaN,89.8086767880888,6.659877532745282,13.986472697536337,6.705110304619336e-05
Argentina,NaN,93.86802557082049,7.900100716529097,10.169338103589112,0.0012518612031301062
Armenia,NaN,90.20162489932692,7.012019066659369,8.550703975908778,0.0009158369798001015
Australia,New South Wales,86.23829145699133,7.958619364049101,6.484656429230645,0.0014092991749071206
Australia,Queensland,84.82288476485371,6.90176710262494,7.551061073129741,0.00014719470872882266
Australia,Victoria,86.52740690974323,7.150399389905408,6.415794159508167,0.00024014093190653243
Australia,Western Australia,66.1862456908012,6.471114731315212,42.959685627222385,1.7871630635508717e-05
Austria,NaN,85.84887636291748,9.552260586340887,7.5738231995400955,0.0016323302666439335
Azerbaijan,NaN,96.61237904546925,7.260530689193386,7.1270067263273695,0.00040116497244894604
Bahrain,NaN,361.9490491528247,17.622363003321343,64.29015308770103,0.00582495745613988
Belarus,NaN,103.50381950590754,8.750024583565683,6.1643307032679395,0.0025963298554058313
Belgium,NaN,95.8404727418807,10.632279100628512,10.642463160796602,0.002804995387407874
Bosnia and Herzegovina,NaN,99.2683716480001,7.452230711519821,14.483216070266115,0.0002624585954519071
Brazil,NaN,103.3942233848733,10.80005225886093,11.648491335102808,0.005800571646854366
Bulgaria,NaN,94.3374015406756,6.935220159603027,18.696615311879917,6.704780386152977e-05
Cameroon,NaN,91.47747553934775,6.766646560729707,6.579309783965647,0.0008645382641580739
Canada,Alberta,96.1664116739641,7.799946575419391,12.325065170432016,0.002289293999406426
Canada,British Columbia,86.114466222104,7.347503715228935,10.857587694584133,0.0009478676841432575
Canada,Ontario,99.20258697546737,9.367776694368004,9.787334416397591,0.0018990264028875446
Canada,Quebec,95.34116666458479,9.69022818811742,7.9346354411944,0.0029286077765320728
Chile,NaN,95.83401723042269,9.186468223780533,9.855095791438533,0.000617251681007053
China,Anhui,34.47180160077456,6.897487166949212,5.778171983685932,1.1663496830986562e-05
China,Beijing,72.22734748262556,6.374592088350392,7.100711843260065,2.585771229927551e-05
China,Chongqing,29.600020898818695,6.358853236930258,9.85220133192841,7.519535452778227e-06
China,Guangdong,32.87579258927648,7.25549371978133,7.825467922728813,0.0025572630782033103
China,Heilongjiang,229.44116481968217,11.350126994237598,53.25633301005604,0.0004332511707026747
China,Henan,33.58721552396814,7.148536593408926,6.238064639926481,7.121431653806801e-05
China,Hong Kong,85.79166991893352,6.929617096432935,7.885641091348786,9.697482628371967e-05
China,Hubei,39.173156194001706,11.114479734049379,6.7734755505646245,0.0055548827997315715
China,Hunan,32.710517394123265,6.925601766941942,6.399549477080503,2.0144664446735783e-05
China,Jiangsu,36.42143725259817,6.458400715272439,5.287519998098286,0.00016034718204308167
China,Jiangxi,33.671330162181974,6.842259319118164,6.4293398402293125,2.7134188726018518e-05
China,Shandong,40.203920890134505,6.650377826150569,10.115517510755335,0.0018896515319199673
China,Shanghai,227.86717443838467,8.31271932511693,118.67760681155818,0.0005691407789583443
China,Sichuan,-117.55733304771664,6.396189154074168,146.85709231417343,5.0233943185877434e-05
China,Zhejiang,31.12191645859239,7.114281117487975,7.092187647458721,0.0004580082263062454
Colombia,NaN,101.9760247685232,8.593669271118767,12.426699597654668,0.0011019069830202816
Costa Rica,NaN,93.36697324413534,6.461908624797861,5.810028406112616,2.056108097143081e-05
Croatia,NaN,92.02369009370159,7.590968846830188,11.650092656484375,0.0003512258813945895
Diamond Princess,NaN,43.51373381368265,6.56485960788255,5.620860006798364,0.00012206681359988185
Cuba,NaN,99.79472848080948,7.013324041792605,8.39383961038159,1.3937661605830905e-05
Cyprus,NaN,95.44146767944375,6.81364895392392,12.18140877274691,7.049014481128685e-05
Czechia,NaN,90.26964995416397,8.811770439095067,9.62502294544932,0.0008139562685687166
Denmark,NaN,158.02753194099188,11.77734463865011,33.763609058577686,0.0038552854913095577
Dominican Republic,NaN,101.32586593567495,8.63887564128484,12.62421291756922,0.0021482860053341534
Ecuador,NaN,106.75470706253473,9.803344481677332,14.919663579422235,0.011037766567648764
Egypt,NaN,128.49416396561185,9.767660776928388,22.390615541420043,0.0009733996245386813
Estonia,NaN,89.98931589403881,7.35583962802293,11.775936024215365,0.0008252301769955397
Finland,NaN,100.12447862963921,8.590128724282158,16.043451140295044,0.0015088989449580361
France,NaN,94.93286374624205,11.909268402690856,11.467318732610721,0.005105787794527982
Germany,NaN,89.83630877021396,11.866262744568619,9.227321585317062,0.00846334300281332
Greece,NaN,88.31571618521636,7.768735233202614,11.158622278283456,0.0002669958692448429
Hungary,NaN,208.81941276115668,13.152439039514874,38.141253286578134,0.002325514646243186
Iceland,NaN,86.35545514392685,7.505298399620589,9.969158612688119,0.000357035947628661
India,NaN,129.9429859737536,12.19266732208466,16.737541087449188,0.006569900672908752
Indonesia,NaN,112.54264476150746,9.622613896300196,17.51957219785838,0.001284215855265768
Iran,NaN,85.39351301553154,11.192330782879441,12.32203389782791,0.03142053413467147
Iraq,NaN,92.66845837365139,7.419795094829102,10.825402908381722,0.0006157296325601372
Ireland,NaN,107.19658593769807,10.16573999104239,14.651000972343986,0.0042775728748515995
Israel,NaN,90.56338937607367,9.36173993488589,6.777374475490773,0.005422726282093303
Italy,NaN,85.19981704110663,11.994552874719172,10.716076197659412,0.001741523431068606
Japan,NaN,666.5081856007616,30.950974462071677,90.28555240404077,0.01613871451235847
