,gamma_2.5,gamma_2.5,gamma_2.5,gamma_3,gamma_3,gamma_3,gamma_4,gamma_4,gamma_4,ER_2.5,ER_2.5,ER_2.5,ER_5,ER_5,ER_5,ER_10,ER_10,ER_10
,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution
2019-02-06,367,767,788,196,290,684,26,28,171,59,199,904,499,978,993,999,1000,1000
2019-02-07,408,767,790,209,310,685,27,28,180,64,216,905,540,982,993,1000,1000,1000
2019-02-08,441,770,791,224,329,687,28,28,190,67,227,905,570,984,993,1000,1000,1000
2019-02-09,474,772,791,237,348,688,29,30,194,70,241,905,607,986,993,1000,1000,1000
2019-02-10,500,772,791,257,369,689,30,31,208,72,256,905,646,987,993,1000,1000,1000
2019-02-11,524,777,791,269,390,690,30,32,219,76,268,905,678,987,993,1000,1000,1000
2019-02-12,544,782,791,284,412,691,31,32,227,78,292,905,723,988,993,1000,1000,1000
2019-02-13,567,782,791,303,429,692,32,36,235,85,320,905,767,989,993,1000,1000,1000
2019-02-14,582,782,791,320,441,692,32,36,242,90,347,906,790,990,993,1000,1000,1000
2019-02-15,596,782,791,340,458,694,33,40,250,97,364,907,820,990,993,1000,1000,1000
2019-02-16,613,783,791,356,472,694,34,40,260,102,384,908,843,991,993,1000,1000,1000
2019-02-17,625,784,791,372,487,697,34,42,268,109,401,908,867,991,993,1000,1000,1000
2019-02-18,638,786,792,389,500,697,35,42,278,115,420,908,890,992,993,1000,1000,1000
2019-02-19,645,787,792,403,513,697,39,43,287,121,441,908,902,992,993,1000,1000,1000
2019-02-20,651,788,792,415,529,698,40,45,298,133,463,908,918,992,993,1000,1000,1000
2019-02-21,667,789,793,426,537,699,41,46,302,147,484,908,933,992,993,1000,1000,1000
2019-02-22,678,790,793,443,550,702,42,47,306,157,500,909,944,992,993,1000,1000,1000
2019-02-23,688,790,793,462,563,702,44,51,315,167,514,910,951,992,993,1000,1000,1000
2019-02-24,695,790,794,472,571,702,47,53,331,176,536,910,958,992,993,1000,1000,1000
2019-02-25,709,791,794,483,579,702,51,56,338,186,563,910,968,992,993,1000,1000,1000
2019-02-26,723,791,794,499,584,704,54,58,347,198,587,910,975,993,993,1000,1000,1000
2019-02-27,731,791,794,510,591,704,56,61,353,208,609,910,977,993,993,1000,1000,1000
2019-02-28,737,791,794,521,600,705,60,63,361,216,626,910,980,993,993,1000,1000,1000
2019-03-01,745,791,794,530,608,706,63,65,371,227,649,910,984,993,993,1000,1000,1000
2019-03-02,751,791,794,543,615,706,64,65,376,239,669,910,986,993,993,1000,1000,1000
2019-03-03,756,793,794,557,626,706,64,66,383,248,680,910,987,993,993,1000,1000,1000
2019-03-04,760,793,794,564,639,707,64,67,392,260,698,910,989,993,993,1000,1000,1000
2019-03-05,768,793,794,571,639,708,67,69,398,269,712,910,989,993,993,1000,1000,1000
2019-03-06,770,793,794,582,642,708,69,71,404,277,727,910,990,993,993,1000,1000,1000
2019-03-07,773,793,795,591,647,709,71,72,409,291,738,910,990,993,993,1000,1000,1000
2019-03-08,774,794,795,603,650,709,72,74,413,299,749,910,991,993,993,1000,1000,1000
2019-03-09,775,794,795,612,651,709,75,79,417,322,757,910,992,993,993,1000,1000,1000
2019-03-10,776,795,795,618,652,709,77,84,421,342,774,910,993,993,993,1000,1000,1000
2019-03-11,780,795,795,627,655,709,78,86,426,357,787,910,993,993,993,1000,1000,1000
2019-03-12,782,795,795,629,662,709,78,88,432,383,795,910,993,993,993,1000,1000,1000
2019-03-13,784,795,795,634,666,709,81,90,433,401,801,910,993,993,993,1000,1000,1000
2019-03-14,785,795,795,643,669,709,82,90,436,417,805,910,993,993,993,1000,1000,1000
2019-03-15,785,795,795,645,671,709,83,93,438,435,817,910,993,993,993,1000,1000,1000
2019-03-16,785,795,795,653,672,709,83,96,444,447,822,910,993,993,993,1000,1000,1000
2019-03-17,785,795,795,660,676,709,85,96,447,460,828,910,993,993,993,1000,1000,1000
2019-03-18,785,795,795,664,677,709,87,97,451,474,832,910,993,993,993,1000,1000,1000
2019-03-19,787,795,795,668,682,709,91,99,459,490,837,910,993,993,993,1000,1000,1000
2019-03-20,788,795,795,672,685,709,96,108,467,512,845,910,993,993,993,1000,1000,1000
2019-03-21,789,795,795,676,685,709,98,109,473,523,853,910,993,993,993,1000,1000,1000
2019-03-22,790,795,795,680,687,709,101,113,476,547,859,910,993,993,993,1000,1000,1000
2019-03-23,790,795,795,684,689,709,104,119,478,561,867,911,993,993,993,1000,1000,1000
2019-03-24,791,795,795,684,690,709,108,121,478,578,869,911,993,993,993,1000,1000,1000
2019-03-25,792,795,795,685,692,709,114,124,478,599,876,911,993,993,993,1000,1000,1000
2019-03-26,793,795,795,688,693,709,118,130,482,616,877,911,993,993,993,1000,1000,1000
2019-03-27,793,795,795,688,694,709,121,133,487,632,881,912,993,993,993,1000,1000,1000
2019-03-28,793,795,795,691,695,709,124,143,491,651,882,912,993,993,993,1000,1000,1000
2019-03-29,793,795,795,691,696,709,130,145,494,664,885,912,993,993,993,1000,1000,1000
2019-03-30,793,795,795,692,696,709,138,148,503,679,888,912,993,993,993,1000,1000,1000
2019-03-31,793,795,795,693,697,709,141,151,506,694,889,912,993,993,993,1000,1000,1000
2019-04-01,793,795,795,695,697,709,145,155,508,706,889,912,993,993,993,1000,1000,1000
2019-04-02,794,795,795,695,698,709,148,159,512,718,894,912,993,993,993,1000,1000,1000
2019-04-03,794,795,795,696,699,709,153,162,515,738,896,912,993,993,993,1000,1000,1000
2019-04-04,794,795,795,696,699,709,155,168,519,753,899,912,993,993,993,1000,1000,1000
2019-04-05,794,795,795,698,700,709,158,173,523,762,900,912,993,993,993,1000,1000,1000
2019-04-06,794,795,795,698,702,709,160,175,525,777,901,913,993,993,993,1000,1000,1000
2019-04-07,794,795,795,699,704,710,164,179,526,785,903,913,993,993,993,1000,1000,1000
2019-04-08,795,795,795,700,704,710,168,181,530,798,903,913,993,993,993,1000,1000,1000
2019-04-09,795,795,795,702,705,710,171,184,530,802,903,913,993,993,993,1000,1000,1000
2019-04-10,795,795,795,704,706,710,173,187,531,812,904,913,993,993,993,1000,1000,1000
2019-04-11,795,795,795,704,706,710,178,196,531,820,904,913,993,993,993,1000,1000,1000
2019-04-12,795,795,795,707,707,710,182,201,533,825,904,913,993,993,993,1000,1000,1000
2019-04-13,795,795,795,709,707,710,183,203,534,836,906,913,993,993,993,1000,1000,1000
2019-04-14,795,795,795,709,707,710,189,209,534,840,906,913,993,993,993,1000,1000,1000
2019-04-15,795,795,795,709,708,710,193,214,536,844,906,913,993,993,993,1000,1000,1000
2019-04-16,795,795,795,710,708,710,197,218,537,847,907,913,993,993,993,1000,1000,1000
2019-04-17,795,795,795,710,708,710,203,227,537,856,907,913,993,993,993,1000,1000,1000
2019-04-18,795,795,795,711,708,710,206,234,539,860,907,913,993,993,993,1000,1000,1000
2019-04-19,795,795,795,711,708,710,210,235,539,865,907,913,993,993,993,1000,1000,1000
2019-04-20,795,795,795,711,708,711,212,241,540,867,907,913,993,993,993,1000,1000,1000
2019-04-21,795,795,795,711,709,711,222,245,541,871,907,913,993,993,993,1000,1000,1000
2019-04-22,795,795,795,711,709,711,231,250,543,879,908,913,993,993,993,1000,1000,1000
2019-04-23,795,795,795,711,710,711,238,260,543,884,908,913,993,993,993,1000,1000,1000
2019-04-24,795,795,795,711,710,711,244,262,543,886,908,913,993,993,993,1000,1000,1000
2019-04-25,795,795,795,711,710,711,254,268,544,888,908,913,993,993,993,1000,1000,1000
2019-04-26,795,795,795,712,711,711,258,274,546,891,908,913,993,993,993,1000,1000,1000
2019-04-27,795,795,795,713,711,711,262,280,546,893,909,913,993,993,993,1000,1000,1000
2019-04-28,795,795,795,713,711,711,268,284,546,894,909,913,993,993,993,1000,1000,1000
2019-04-29,795,795,795,713,711,711,275,288,547,895,909,913,993,993,993,1000,1000,1000
2019-04-30,795,795,795,713,711,711,278,291,548,898,909,913,993,993,993,1000,1000,1000
2019-05-01,795,795,795,713,711,711,283,295,548,898,909,913,993,993,993,1000,1000,1000
2019-05-02,795,795,795,713,711,711,287,298,548,898,910,913,993,993,993,1000,1000,1000
2019-05-03,795,795,795,713,711,711,294,307,549,899,910,913,993,993,993,1000,1000,1000
2019-05-04,795,795,795,713,711,711,304,312,550,902,910,913,993,993,993,1000,1000,1000
2019-05-05,795,795,795,713,711,711,306,318,550,903,910,913,993,993,993,1000,1000,1000
2019-05-06,795,795,795,713,711,711,307,322,551,904,910,913,993,993,993,1000,1000,1000
2019-05-07,795,795,795,713,711,711,310,325,551,905,910,913,993,993,993,1000,1000,1000
2019-05-08,795,795,795,713,711,711,311,331,551,906,910,913,993,993,993,1000,1000,1000
2019-05-09,795,795,795,713,711,711,313,334,552,907,910,913,993,993,993,1000,1000,1000
2019-05-10,795,795,795,713,711,711,316,343,552,907,910,913,993,993,993,1000,1000,1000
2019-05-11,795,795,795,713,711,711,322,348,552,908,910,913,993,993,993,1000,1000,1000
2019-05-12,795,795,795,713,711,711,327,354,552,909,910,913,993,993,993,1000,1000,1000
2019-05-13,795,795,795,713,711,711,331,359,552,909,910,913,993,993,993,1000,1000,1000
2019-05-14,795,795,795,713,711,711,333,366,553,909,910,913,993,993,993,1000,1000,1000
2019-05-15,795,795,795,713,711,711,334,374,553,909,910,913,993,993,993,1000,1000,1000
2019-05-16,795,795,795,713,712,711,337,381,553,910,910,913,993,993,993,1000,1000,1000
2019-05-17,795,795,795,713,712,711,341,385,553,910,910,913,993,993,993,1000,1000,1000
2019-05-18,795,795,795,713,712,711,348,389,554,911,910,913,993,993,993,1000,1000,1000
2019-05-19,795,795,795,713,712,711,357,397,554,911,910,913,993,993,993,1000,1000,1000
2019-05-20,795,795,795,713,712,711,363,401,554,911,910,913,993,993,993,1000,1000,1000
2019-05-21,795,795,795,713,712,711,366,405,555,911,910,913,993,993,993,1000,1000,1000
2019-05-22,795,795,795,713,712,711,370,408,555,911,910,913,993,993,993,1000,1000,1000
2019-05-23,795,795,795,713,712,712,378,418,556,911,910,913,993,993,993,1000,1000,1000
2019-05-24,795,795,795,713,712,712,382,424,556,911,910,913,993,993,993,1000,1000,1000
2019-05-25,795,795,795,713,712,712,385,425,557,912,910,913,993,993,993,1000,1000,1000
2019-05-26,795,795,795,713,712,712,392,427,557,913,910,913,993,993,993,1000,1000,1000
2019-05-27,795,795,795,713,712,712,399,429,557,913,910,913,993,993,993,1000,1000,1000
2019-05-28,795,795,795,713,713,712,403,430,558,913,910,913,993,993,993,1000,1000,1000
2019-05-29,795,795,795,713,713,712,414,435,558,913,910,913,993,993,993,1000,1000,1000
2019-05-30,795,795,795,713,713,712,418,441,559,913,910,913,993,993,993,1000,1000,1000
2019-05-31,795,795,795,713,713,712,420,446,560,913,910,913,993,993,993,1000,1000,1000
2019-06-01,795,795,795,713,713,712,422,450,562,913,910,913,993,993,993,1000,1000,1000
2019-06-02,795,795,795,713,713,712,427,455,562,913,910,913,993,993,993,1000,1000,1000
2019-06-03,795,795,795,713,713,712,431,457,563,913,910,913,993,993,993,1000,1000,1000
2019-06-04,795,795,795,713,713,712,436,461,563,913,910,913,993,993,993,1000,1000,1000
2019-06-05,795,795,795,713,713,712,439,468,563,913,910,913,993,993,993,1000,1000,1000
2019-06-06,795,795,795,713,713,712,444,471,563,913,910,913,993,993,993,1000,1000,1000
2019-06-07,795,795,795,713,713,712,446,473,563,913,910,913,993,993,993,1000,1000,1000
2019-06-08,795,795,795,713,713,712,448,475,563,913,910,913,993,993,993,1000,1000,1000
2019-06-09,795,795,795,713,713,712,452,479,563,913,910,913,993,993,993,1000,1000,1000
2019-06-10,795,795,795,713,713,712,454,484,563,913,910,913,993,993,993,1000,1000,1000
2019-06-11,795,795,795,713,713,712,458,487,564,913,910,913,993,993,993,1000,1000,1000
2019-06-12,795,795,795,713,713,712,460,488,564,913,910,913,993,993,993,1000,1000,1000
2019-06-13,795,795,795,713,713,712,465,489,564,913,910,913,993,993,993,1000,1000,1000
