,gamma_2.5,gamma_2.5,gamma_2.5,gamma_3,gamma_3,gamma_3,gamma_4,gamma_4,gamma_4,ER_2.5,ER_2.5,ER_2.5,ER_5,ER_5,ER_5,ER_10,ER_10,ER_10
,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution
2019-09-02,795,795,795,713,713,712,558,562,569,913,910,913,993,993,993,1000,1000,1000
2019-09-03,795,795,795,713,713,712,558,562,569,913,910,913,993,993,993,1000,1000,1000
2019-09-04,795,795,795,713,713,712,558,562,569,913,910,913,993,993,993,1000,1000,1000
2019-09-05,795,795,795,713,713,712,560,563,569,913,910,913,993,993,993,1000,1000,1000
2019-09-06,795,795,795,713,713,712,560,563,569,913,910,913,993,993,993,1000,1000,1000
2019-09-07,795,795,795,713,713,712,560,563,569,913,910,913,993,993,993,1000,1000,1000
2019-09-08,795,795,795,713,713,712,560,563,569,913,910,913,993,993,993,1000,1000,1000
2019-09-09,795,795,795,713,713,712,561,563,569,913,910,913,993,993,993,1000,1000,1000
2019-09-10,795,795,795,713,713,712,561,563,569,913,910,913,993,993,993,1000,1000,1000
2019-09-11,795,795,795,713,713,712,561,563,569,913,910,913,993,993,993,1000,1000,1000
2019-09-12,795,795,795,713,713,712,562,563,569,913,910,913,993,993,993,1000,1000,1000
2019-09-13,795,795,795,713,713,712,562,564,569,913,910,913,993,993,993,1000,1000,1000
2019-09-14,795,795,795,713,713,712,563,564,569,913,910,913,993,993,993,1000,1000,1000
2019-09-15,795,795,795,713,713,712,563,564,569,913,910,913,993,993,993,1000,1000,1000
2019-09-16,795,795,795,713,713,712,563,564,569,913,910,913,993,993,993,1000,1000,1000
2019-09-17,795,795,795,713,713,712,563,564,569,913,910,913,993,993,993,1000,1000,1000
2019-09-18,795,795,795,713,713,712,563,564,569,913,910,913,993,993,993,1000,1000,1000
2019-09-19,795,795,795,713,713,712,563,564,569,913,910,913,993,993,993,1000,1000,1000
2019-09-20,795,795,795,713,713,712,563,565,569,913,910,913,993,993,993,1000,1000,1000
2019-09-21,795,795,795,713,713,712,563,565,569,913,910,913,993,993,993,1000,1000,1000
2019-09-22,795,795,795,713,713,712,563,566,569,913,910,913,993,993,993,1000,1000,1000
2019-09-23,795,795,795,713,713,712,563,567,569,913,910,913,993,993,993,1000,1000,1000
2019-09-24,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-09-25,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-09-26,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-09-27,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-09-28,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-09-29,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-09-30,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-01,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-02,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-03,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-04,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-05,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-06,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-07,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-08,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-09,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-10,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-11,795,795,795,713,713,712,564,567,569,913,910,913,993,993,993,1000,1000,1000
2019-10-12,795,795,795,713,713,712,564,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-13,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-14,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-15,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-16,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-17,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-18,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-19,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-20,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-21,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-22,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-23,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-24,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-25,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-26,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-27,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-28,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-29,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-30,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-10-31,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-01,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-02,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-03,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-04,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-05,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-06,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-07,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-08,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-09,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-10,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-11,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-12,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-13,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-14,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-15,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-16,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-17,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-18,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-19,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-20,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-21,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-22,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-23,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-24,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-25,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-26,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-27,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-28,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-29,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-11-30,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-01,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-02,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-03,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-04,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-05,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-06,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-07,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-08,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-09,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-10,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-11,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-12,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-13,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-14,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-15,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-16,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-17,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-18,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-19,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-20,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-21,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-22,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-23,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-24,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-25,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-26,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-27,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-28,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-29,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-30,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2019-12-31,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-01,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-02,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-03,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-04,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-05,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-06,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-07,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-08,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-09,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-10,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-11,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-12,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-13,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-14,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-15,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-16,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-17,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-18,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-19,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-20,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-21,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-22,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-23,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-24,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-25,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-26,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-27,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-28,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-29,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-30,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-01-31,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-01,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-02,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-03,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-04,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-05,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-06,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-07,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-08,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-09,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-10,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-11,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-12,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-13,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-14,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-15,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-16,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-17,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-18,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-19,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-20,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-21,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-22,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-23,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-24,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-25,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-26,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-27,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-28,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-02-29,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-01,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-02,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-03,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-04,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-05,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-06,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-07,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-08,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-09,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-10,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-11,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-12,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-13,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-14,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-15,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-16,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-17,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-18,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-19,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-20,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-21,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-22,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-23,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-24,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-25,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-26,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-27,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-28,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-29,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-30,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-03-31,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-01,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-02,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-03,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-04,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-05,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-06,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-07,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-08,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-09,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-10,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-11,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-12,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-13,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-14,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
2020-04-15,795,795,795,713,713,712,565,568,569,913,910,913,993,993,993,1000,1000,1000
